ID,Weapon_Name,Country_of_Origin,Manufacturer,Category,Subcategory,Year_Introduced,Year_Retired,Service_Status,Caliber,Action_Type,Effective_Range_m,Max_Range_m,Weight_kg,Length_mm,Barrel_Length_mm,Muzzle_Velocity_mps,Rate_of_Fire_rpm,Magazine_Capacity,Warhead_Weight_kg,Max_Speed_kmh,Crew_Size,Unit_Cost_USD,Num_Operator_Nations,Primary_Users,NATO_Compatible,Generation,Theater_of_Operation,Export_Status,Combat_Proven,Propulsion_Type,Guidance_System,Communication_System,Operating_Environment,Protection_Level,Notes
5264,VBCI-76,Uganda,Government Defence Works,Armored Vehicle,Wheeled APC,1968,,Active,125mm smoothbore,N/A - manual loading,7235,10234,43042.39,11138,,,,,,,3,7046970,24,Uganda + 23 allied nations,No,3.5th,Land,Limited Export,No,Diesel inline-6,Optical,Link 16 datalink,Desert,Soft-kill APS,3.5th generation Wheeled APC; operated by Uganda; active service; Desert optimised
5265,MK-345,Cuba,State Defence Enterprise,Support Weapon,Medium Mortar,2016,,Active,40x53mm,Pump-action,8233,15242,101.94,1639,717,245,25,49,137.7,,6,9506,7,Cuba + 6 allied nations,No,4.5th,Land,Very Limited Export,Yes,Mechanical,N/A,IFF Mode 4/5,Littoral,Electro-optical APS,4.5th generation Medium Mortar; operated by Cuba; active service; Littoral optimised
5266,AHS-105,Afghanistan,Defence Production Corp,Artillery,Wheeled Self-Propelled Howitzer,1982,,Active (Limited),155mm/39cal,Separate loading QF,306489,479396,33574.95,12681,,,11,64,,,7,1576997,8,Afghanistan + 7 allied nations,No,5th,Land,Widely Exported,No,N/A,Manual,SINGCARS,Jungle,Electro-optical APS,5th generation Wheeled Self-Propelled Howitzer; operated by Afghanistan; active (limited) service; Jungle optimised
5267,RCL-188,Greece,Armed Forces Ordnance,Support Weapon,Recoilless Rifle,2014,,Active,82mm,Blowback full auto,3194,6059,25.23,,1210,90,,46,502.6,,1,99936,35,Greece + 34 allied nations,N/A,5th+,Land,Not Exported,Limited,Manual,Unguided,BFT Blue Force Tracking,Amphibious,Slat/Cage armor,5th+ generation Recoilless Rifle; operated by Greece; active service; Amphibious optimised
5268,Type-Panther,Germany,ESG Elektroniksystem,Support Weapon,Anti-Tank Mine Layer,1973,,Active,120mm smoothbore recoilless,Blowback full auto,7145,10760,88.28,1477,878,,26,42,73.9,,2,110735,30,Germany + 29 allied nations,N/A,4.5th,Land,Limited Export,Limited,Electric,Manual,IFF Mode 4/5,Arctic/Cold weather,Classified composite,4.5th generation Anti-Tank Mine Layer; operated by Germany; active service; Arctic/Cold weather optimised
5269,Type-395,Albania,Defence Production Corp,Small Arm,Combat Shotgun,1990,,Reserve,5.7x28mm,Recoil-operated rotating barrel,1341,1963,4.43,673,774,927,1110,145,,,1,243622,34,Albania + 33 allied nations,Partial,3.5th,Land,Key Export Product,No,Chemical,Unguided,VHF radio,Desert,Soft-kill APS,3.5th generation Combat Shotgun; operated by Albania; reserve service; Desert optimised
5270,AMX-383,Slovakia,Armed Forces Ordnance,Armored Vehicle,Main Battle Tank,1952,,Reserve,100mm rifled,N/A - unmanned turret,1004,1755,57906.55,11672,,,,,,,3,1003704,8,Slovakia + 7 allied nations,Yes,3.5th,Land,Limited Export,Limited,Diesel V-8,Inertial,SATCOM,Arctic/Cold weather,Slat/Cage armor,3.5th generation Main Battle Tank; operated by Slovakia; reserve service; Arctic/Cold weather optimised
5271,Buk-69,Estonia,Defence Production Corp,Air Defense,Long-Range SAM,2021,,Reserve,Laser beam,3-channel optical UV/IR/MIR,,,34090.98,,,,,9,381.0,,8,1149688178,12,Estonia + 11 allied nations,No,5th+,Sea,Very Limited Export,Limited,Mechanical,Laser beam riding,SATCOM,Desert,Classified composite,5th+ generation Long-Range SAM; operated by Estonia; reserve service; Desert optimised
5272,Mohajer-282,Qatar,National Defence Industries,UAS,ISR Reconnaissance Drone,1996,,Active,Laser designator only,Semi-autonomous loiter,8253593,23426577,10066.89,7005,,,,,536.6,562,2,85496441,24,Qatar + 23 allied nations,Partial,1st,Land,Very Limited Export,Yes,Turbojet,Laser spot tracking,Link 11,Littoral,No armor,1st generation ISR Reconnaissance Drone; operated by Qatar; active service; Littoral optimised
5273,FH-449,Mongolia,Government Defence Works,Artillery,Precision Guided MRL,2008,,In Development,300mm heavy rocket,Separate loading QF,311646,762699,41377.38,6990,,,26,24,,,3,1075243,28,Mongolia + 27 allied nations,N/A,5th,Land,Not Exported,Limited,N/A,Optical,VHF radio,Amphibious,Hard-kill APS (Trophy),5th generation Precision Guided MRL; operated by Mongolia; in development service; Amphibious optimised
5274,PP-109,Egypt,State Arsenal,Support Weapon,Automatic Grenade Launcher,2015,,Testing/Evaluation,105mm recoilless,Muzzle-loaded drop-fire,7053,13175,10.04,,1247,79,8,8,217.5,,5,95202,12,Egypt + 11 allied nations,Yes,3.5th,Land,Limited Export,Yes,N/A,Optical,SINGCARS,Multi-environment,No armor,3.5th generation Automatic Grenade Launcher; operated by Egypt; testing/evaluation service; Multi-environment optimised
5275,AHS-397,Algeria,National Defence Industries,Artillery,Wheeled Self-Propelled Howitzer,1990,,Active,203mm,Autoloaded carousel,220294,543892,12005.66,6349,,,29,67,,,6,3478653,9,Algeria + 8 allied nations,No,1st,Land,Exported,No,Self-propelled diesel,N/A,Link 16 datalink,Multi-environment,Soft-kill APS,1st generation Wheeled Self-Propelled Howitzer; operated by Algeria; active service; Multi-environment optimised
5276,A-28,Lebanon,Government Defence Works,Aircraft,Lead-in Fighter Trainer,1989,,Active,23mm GSh-23,N/A - FBW quadruplex,9225638,12672346,6716.85,54593,,,,,,1948,3,3834602594,4,Lebanon + 3 allied nations,N/A,4.5th,Air,Exported,Yes,Turboprop,Optical,HF/VHF/UHF,Urban,No armor,4.5th generation Lead-in Fighter Trainer; operated by Lebanon; active service; Urban optimised
5277,RBS-96,Botswana,National Defence Industries,Air Defense,Counter-UAS System,1983,,Active,152mm,Active radar homing,566967,1020034,6577.08,,,,,8,93.5,,5,1994057959,32,Botswana + 31 allied nations,Yes,1st,Land,Embargoed,Yes,Mechanical,Proximity radar fuse,VHF radio,Arctic/Cold weather,Soft-kill APS,1st generation Counter-UAS System; operated by Botswana; active service; Arctic/Cold weather optimised
5278,PLZ-284,Turkmenistan,State Defence Enterprise,Artillery,Wheeled Self-Propelled Howitzer,1982,,Active,122mm,Ram-loaded,340881,597027,60793.74,7806,,,8,,,,7,6084375,14,Turkmenistan + 13 allied nations,Partial,1st,Land,Embargoed,Limited,N/A,N/A,UHF radio,Desert,Slat/Cage armor,1st generation Wheeled Self-Propelled Howitzer; operated by Turkmenistan; active service; Desert optimised
5279,M-152,Myanmar,Armed Forces Ordnance,Support Weapon,Light Mortar,1986,,Testing/Evaluation,40x46mm,Muzzle-loaded drop-fire,9178,13772,68.72,,593,460,37,44,582.5,,4,87008,22,Myanmar + 21 allied nations,Yes,5th+,Land,Limited Export,No,Chemical,Optical,BFT Blue Force Tracking,Littoral,NERA,5th+ generation Light Mortar; operated by Myanmar; testing/evaluation service; Littoral optimised
5280,FGM-120,Iraq,National Defence Industries,Anti-Tank,Tandem HEAT ATGM,1960,,Active,152mm,Fire-and-forget IR,19649,28743,8.33,,,,,1,187.0,,3,245205,6,Iraq + 5 allied nations,N/A,2nd,Land,Widely Exported,Yes,Chemical,Wire SACLOS,IFF Mode 4/5,Naval,Composite + Trophy APS,2nd generation Tandem HEAT ATGM; operated by Iraq; active service; Naval optimised
5281,CH-273,Chile,State Defence Enterprise,UAS,High-Altitude Long-Endurance UAS,2003,,Active (Limited),EO/IR/SAR multi-sensor,Operator-in-loop BLOS,8806319,25354629,2459.88,3529,,,,,81.4,924,1,100511458,4,Chile + 3 allied nations,No,3rd,Land,Very Limited Export,No,Solid rocket,Anti-radiation passive,SINGCARS,Underground,Classified composite,3rd generation High-Altitude Long-Endurance UAS; operated by Chile; active (limited) service; Underground optimised
5282,BGM-477,Uzbekistan,Defence Production Corp,Missile,Anti-Satellite Missile,1960,,Active,533mm,Fire-and-forget MMW radar,,,99721.93,3044,,,,1,65.8,7371,3,47875439,22,Uzbekistan + 21 allied nations,N/A,5th+,Sea,Embargoed,No,Combined ramjet+rocket,Inertial only,UHF radio,Littoral,Composite Chobham,5th+ generation Anti-Satellite Missile; operated by Uzbekistan; active service; Littoral optimised
5283,SCR-V,Estonia,State Defence Enterprise,Small Arm,Anti-Materiel Rifle,2022,,Testing/Evaluation,9x19mm Parabellum,Gas-operated long stroke piston,1363,1784,11.71,277,,700,1345,112,,,1,25631,17,Estonia + 16 allied nations,No,2nd,Land,Embargoed,No,Chemical,N/A,HF/VHF/UHF,Multi-environment,Explosive Reactive Armour (ERA),2nd generation Anti-Materiel Rifle; operated by Estonia; testing/evaluation service; Multi-environment optimised
5284,KC-462,Greece,Ministry Arms Factory,Aircraft,Carrier-Based Fighter,1987,2010,Retired,23mm GSh-23,N/A - conventional controls,822268,1119844,31977.5,14738,,,,,,1931,5,1840652658,30,Greece + 29 allied nations,No,3.5th,Air,Very Limited Export,Yes,Turbofan,Inertial,BFT Blue Force Tracking,Mountain,Composite Chobham,3.5th generation Carrier-Based Fighter; operated by Greece; retired service; Mountain optimised
5285,USS-275,Kyrgyzstan,Armed Forces Ordnance,Naval,Patrol Boat,2003,,Testing/Evaluation,155mm AGS,N/A - naval propulsion,,,66721963.35,,,,,,,,982,4445696207,7,Kyrgyzstan + 6 allied nations,Yes,2nd,Sea,Very Limited Export,No,Diesel-electric,Unguided,SATCOM,Naval,No armor,2nd generation Patrol Boat; operated by Kyrgyzstan; testing/evaluation service; Naval optimised
5286,AHS-215,Finland,Armed Forces Ordnance,Artillery,Counter-Battery Radar,1978,,Active,200mm rocket,N/A rocket,287063,529844,61256.61,6520,,,4,67,,,6,1470529,15,Finland + 14 allied nations,Partial,2nd,Land,Widely Exported,Yes,Towed (no propulsion),Manual,Link 16 datalink,Arctic/Cold weather,Slat/Cage armor,2nd generation Counter-Battery Radar; operated by Finland; active service; Arctic/Cold weather optimised
5287,MSBS-367,Qatar,Government Defence Works,Small Arm,Assault Rifle,1967,,Active,40x53mm,Bolt-action,989,1925,10.78,1485,,904,1102,182,,,2,74344,24,Qatar + 23 allied nations,Yes,5th,Land,Very Limited Export,Limited,Chemical,Inertial,UHF radio,All-terrain,Composite Chobham,5th generation Assault Rifle; operated by Qatar; active service; All-terrain optimised
5288,Shahed-399,Jordan,National Ordnance Plant,UAS,Armed MALE UAS,1991,,Active,Laser designator only,Passive anti-radiation homing,1033238,1929344,13454.7,5859,,,,,154.0,366,0,183017039,35,Jordan + 34 allied nations,Yes,3rd,Land,Key Export Product,No,Turboprop,GPS waypoint,BFT Blue Force Tracking,High-altitude,Soft-kill APS,3rd generation Armed MALE UAS; operated by Jordan; active service; High-altitude optimised
5289,M-98,Kuwait,State Arsenal,Support Weapon,Flamethrower System,1999,2024,Retired,81mm,Blowback full auto,1947,3388,219.35,1031,518,462,33,47,497.5,,6,36285,30,Kuwait + 29 allied nations,Yes,4th,Land,Key Export Product,Limited,Electric,Unguided,IFF Mode 4/5,Naval,Full spectrum protection,4th generation Flamethrower System; operated by Kuwait; retired service; Naval optimised
5290,DF-IV,Myanmar,National Ordnance Plant,Missile,Submarine-Launched BM,2020,,Reserve,450mm,Semi-active laser,12197281,14580542,84294.26,11111,,,,10,258.5,12628,3,56486724,34,Myanmar + 33 allied nations,N/A,6th (prototype),Sea,Embargoed,Limited,Hypersonic scramjet,GPS/INS,Encrypted UHF/VHF,Urban,Hard-kill APS (Trophy),6th (prototype) generation Submarine-Launched BM; operated by Myanmar; reserve service; Urban optimised
5291,L-408,Mongolia,Defence Production Corp,Support Weapon,Flamethrower System,1949,,Active,40x46mm,Recoilless single-shot,6187,10262,51.5,2063,988,480,33,1,26.3,,6,105005,29,Mongolia + 28 allied nations,Yes,5th+,Land,Very Limited Export,No,N/A,Optical,Software Defined Radio,Underground,Explosive Reactive Armour (ERA),5th+ generation Flamethrower System; operated by Mongolia; active service; Underground optimised
5292,Tor-v1,Algeria,Government Defence Works,Air Defense,Gun-Missile SHORAD,1955,,Active,240mm,Dual IR/radar seeker,534163,706114,40908.61,,,,,,117.0,,3,1845589787,4,Algeria + 3 allied nations,N/A,6th (prototype),Land,Widely Exported,Limited,N/A,3-band optical,UHF radio,Littoral,Electro-optical APS,6th (prototype) generation Gun-Missile SHORAD; operated by Algeria; active service; Littoral optimised
5293,2S-Thunder,Malaysia,Ministry Arms Factory,Artillery,Light Artillery Gun,2013,,In Development,155mm/39cal,Semi-automatic breech,162286,253453,18277.35,5350,,,23,,,,4,9364025,16,Malaysia + 15 allied nations,N/A,4th,Land,Key Export Product,Limited,Wheeled diesel,Optical,SINGCARS,High-altitude,Composite Chobham,4th generation Light Artillery Gun; operated by Malaysia; in development service; High-altitude optimised
5294,Kh-221,Tajikistan,National Defence Industries,Missile,Intercontinental Ballistic Missile,1985,,Reserve,1000mm+,GPS/INS/terrain contour,138400,149233,15341.65,19937,,,,6,353.0,,2,61105171,17,Tajikistan + 16 allied nations,N/A,3.5th,Sea,Exported,No,Turbojet,Millimetre wave radar,SATCOM,Underground,Explosive Reactive Armour (ERA),3.5th generation Intercontinental Ballistic Missile; operated by Tajikistan; reserve service; Underground optimised
5295,Crotale-122,North Korea,Defence Production Corp,Air Defense,MANPADS,1974,,Active (Limited),72mm,Semi-active radar homing,523286,968788,24788.08,,,,,7,380.8,,6,42694703,2,North Korea + 1 allied nations,N/A,5th+,Sea,Very Limited Export,No,Electric,Proximity radar fuse,UHF radio,Desert,Explosive Reactive Armour (ERA),5th+ generation MANPADS; operated by North Korea; active (limited) service; Desert optimised
5296,AMX-44,Brazil,IMBEL,Armored Vehicle,Infantry Fighting Vehicle,1993,,Active,30mm autocannon,N/A - manual loading,1275,1919,85391.44,8428,,,,,,,4,12686912,33,Brazil + 32 allied nations,Yes,5th,Land,Very Limited Export,Yes,Multi-fuel diesel,N/A,BLOS datalink,High-altitude,Slat/Cage armor,5th generation Infantry Fighting Vehicle; operated by Brazil; active service; High-altitude optimised
5297,AH-290,Bolivia,National Defence Industries,Aircraft,Aerial Tanker,1993,,In Development,27mm Mauser BK-27,N/A - FBW quadruplex,6845467,8620863,214976.93,46836,,,,,,3032,5,1899140604,15,Bolivia + 14 allied nations,Yes,5th,Air,Key Export Product,Limited,Combined turbofan+ramjet,N/A,Software Defined Radio,Underground,Composite + ERA,5th generation Aerial Tanker; operated by Bolivia; in development service; Underground optimised
5298,K-451,Kuwait,Ministry Arms Factory,Artillery,Precision Guided MRL,1957,,Active,240mm heavy mortar,Fully automatic loading,327787,565731,13607.03,10997,,,15,,,,4,9569421,30,Kuwait + 29 allied nations,Partial,5th,Land,Exported,Yes,Towed (no propulsion),Optical,IFF Mode 4/5,Underground,Soft-kill APS,5th generation Precision Guided MRL; operated by Kuwait; active service; Underground optimised
5299,Kornet-46,Namibia,Defence Production Corp,Anti-Tank,Network-Enabled ATGM,1961,,Reserve,130mm,Laser beam riding,14253,20151,14.62,,,,,1,568.0,,2,531808,33,Namibia + 32 allied nations,No,2nd,Land,Limited Export,No,Electric,RF guided,BLOS datalink,Jungle,Soft-kill APS,2nd generation Network-Enabled ATGM; operated by Namibia; reserve service; Jungle optimised
5300,SPG-20,Somalia,Government Defence Works,Support Weapon,Automatic Grenade Launcher,2006,,Active,60mm,Pump-action,206,353,125.66,996,569,357,5,4,32.2,,4,11694,27,Somalia + 26 allied nations,Yes,4th,Land,Widely Exported,No,Electric,N/A,HF/VHF/UHF,Desert,Hard-kill APS (Trophy),4th generation Automatic Grenade Launcher; operated by Somalia; active service; Desert optimised
5301,MPT-429,Estonia,Ministry Arms Factory,Small Arm,Light Machine Gun,1948,,Active,4.6x30mm,Gas-operated direct impingement,213,336,,1281,230,946,417,118,,,2,188188,7,Estonia + 6 allied nations,Partial,1st,Land,Embargoed,Yes,N/A,Manual,Software Defined Radio,Underground,NERA,1st generation Light Machine Gun; operated by Estonia; active service; Underground optimised
5302,MK-Guardian,Malaysia,Ministry Arms Factory,Support Weapon,Recoilless Rifle,1964,,Active (Limited),60mm,Breech-loaded single shot,5326,8939,121.95,,986,446,6,42,420.1,,1,116928,24,Malaysia + 23 allied nations,Yes,5th+,Land,Widely Exported,Yes,Electric,Inertial,Software Defined Radio,Naval,Composite + Trophy APS,5th+ generation Recoilless Rifle; operated by Malaysia; active (limited) service; Naval optimised
5303,KC-458,South Korea,LIG Nex1,Aircraft,Strategic Transport,1991,,Active,27mm Mauser BK-27,N/A - fly-by-wire,14601355,27246378,,,,,,,,1016,5,300231505,23,South Korea + 22 allied nations,Partial,2nd,Air,Limited Export,No,Turboprop,Manual,BLOS datalink,Jungle,Composite + Trophy APS,2nd generation Strategic Transport; operated by South Korea; active service; Jungle optimised
5304,SOM-M3,Indonesia,Armed Forces Ordnance,Missile,Supersonic Cruise Missile,1946,,Active (Limited),920mm,Nuclear-armed inertial,10048500,11830556,8807.52,2940,,,,11,499.1,1555,5,62755181,27,Indonesia + 26 allied nations,Yes,6th (prototype),Sea,Embargoed,No,Turbojet,Active radar,Encrypted UHF/VHF,Jungle,Rolled Homogeneous Armour (RHA),6th (prototype) generation Supersonic Cruise Missile; operated by Indonesia; active (limited) service; Jungle optimised
5305,MV-461,Estonia,State Defence Enterprise,Naval,Amphibious Assault Ship,1981,,Testing/Evaluation,130mm A-192,N/A - naval propulsion,,,99185154.46,132879,,,,,,,3091,3776662219,27,Estonia + 26 allied nations,Partial,2nd,Sea,Exported,No,Nuclear PWR,N/A,BFT Blue Force Tracking,Littoral,Composite Chobham,2nd generation Amphibious Assault Ship; operated by Estonia; testing/evaluation service; Littoral optimised
5306,MV-53,New Zealand,National Defence Industries,Naval,Mine Countermeasure,1970,,Reserve,76mm OTO Melara,N/A - naval propulsion,,,47485807.41,246668,,,,,,,2862,10738246121,8,New Zealand + 7 allied nations,No,6th (prototype),Sea,Limited Export,Limited,CODAG combined,Unguided,UHF radio,Urban,Slat/Cage armor,6th (prototype) generation Mine Countermeasure; operated by New Zealand; reserve service; Urban optimised
5307,L-144,France,Dassault Aviation,Small Arm,Grenade Launcher,1966,,Active,.308 Winchester,Short recoil operated,1427,2048,8.82,,892,,974,84,,,2,236837,35,France + 34 allied nations,Yes,5th+,Land,Exported,No,Electric,Optical,BLOS datalink,Jungle,Composite + ERA,5th+ generation Grenade Launcher; operated by France; active service; Jungle optimised
5308,NASAMS-128,Italy,MBDA Italy,Air Defense,Long-Range SAM,2007,,Active (Limited),57mm,Passive anti-radiation,212744,334061,32281.6,,,,,4,1.0,,2,1612246167,22,Italy + 21 allied nations,No,5th+,Land,Embargoed,No,Chemical,3-band optical,IFF Mode 4/5,Desert,Classified composite,5th+ generation Long-Range SAM; operated by Italy; active (limited) service; Desert optimised
5309,AG-109,Azerbaijan,National Defence Industries,Support Weapon,Heavy Mortar,2003,,Testing/Evaluation,66mm,Recoilless single-shot,4777,7178,104.6,2125,1158,338,11,24,129.0,,4,1489,9,Azerbaijan + 8 allied nations,Partial,4th,Land,Exported,Yes,Electric,N/A,BLOS datalink,All-terrain,Explosive Reactive Armour (ERA),4th generation Heavy Mortar; operated by Azerbaijan; testing/evaluation service; All-terrain optimised
5310,KC-354,Rwanda,State Arsenal,Aircraft,Anti-Submarine Warfare Aircraft,1952,,Active,N/A (no gun),N/A - fly-by-wire,5567864,8527202,170591.03,45285,,,,,,1776,5,2627454846,26,Rwanda + 25 allied nations,No,3.5th,Air,Widely Exported,No,Piston,Unguided,JTIDS,Amphibious,Soft-kill APS,3.5th generation Anti-Submarine Warfare Aircraft; operated by Rwanda; active service; Amphibious optimised
5311,R-495,Sudan,National Defence Industries,Missile,Anti-Ship Cruise Missile,1992,,Active (Limited),920mm,Dual IR/radar seeker,14142894,16477189,109479.72,14090,,,,5,587.0,10005,6,8386772,28,Sudan + 27 allied nations,Partial,5th+,Land,Widely Exported,Limited,Hypersonic scramjet,Millimetre wave radar,SINGCARS,Amphibious,Classified composite,5th+ generation Anti-Ship Cruise Missile; operated by Sudan; active (limited) service; Amphibious optimised
5312,HK-A7,Hungary,State Arsenal,Small Arm,Submachine Gun,1970,,Active (Limited),6x35mm,Lever-delayed blowback bullpup,2306,3084,,1116,872,959,933,187,,,1,45013,9,Hungary + 8 allied nations,No,4.5th,Land,Limited Export,Yes,Manual,Manual,Encrypted UHF/VHF,Arctic/Cold weather,Steel plate,4.5th generation Submachine Gun; operated by Hungary; active (limited) service; Arctic/Cold weather optimised
5313,AG-473,Kosovo,Armed Forces Ordnance,Support Weapon,Light Mortar,1945,,Active,82mm,Breech-loaded single shot,2571,4343,199.49,,812,178,25,26,570.2,,6,77665,6,Kosovo + 5 allied nations,Partial,1st,Land,Very Limited Export,No,N/A,Optical,VHF radio,Mountain,Soft-kill APS,1st generation Light Mortar; operated by Kosovo; active service; Mountain optimised
5314,AIM-142,Philippines,Armed Forces Ordnance,Missile,Submarine-Launched BM,2017,,Active,1000mm+,Maneuvering reentry vehicle,,,24784.37,16038,,,,11,151.9,11893,6,23571640,14,Philippines + 13 allied nations,No,6th (prototype),Sea,Widely Exported,Yes,Hypersonic scramjet,Laser semi-active,Link 16 datalink,Naval,No armor,6th (prototype) generation Submarine-Launched BM; operated by Philippines; active service; Naval optimised
5315,9K-21,India,Ordnance Factory Board,Air Defense,Long-Range SAM,2021,,Reserve,30mm,Dual IR/radar seeker,548727,759712,6908.74,,,,,5,495.7,,9,161212455,18,India + 17 allied nations,No,4th,Land,Very Limited Export,No,Electric,Proximity radar fuse,BLOS datalink,Littoral,Active Protection System,4th generation Long-Range SAM; operated by India; reserve service; Littoral optimised
5316,NASAMS-103,Argentina,State Arsenal,Air Defense,Long-Range SAM,1996,,Active,Various composite,Passive anti-radiation,100661,179461,39870.67,,,,,7,217.2,,12,1191132787,5,Argentina + 4 allied nations,N/A,5th,Sea,Key Export Product,Limited,Manual,IR homing,UHF radio,Littoral,Composite + ERA,5th generation Long-Range SAM; operated by Argentina; active service; Littoral optimised
5317,TPz-41,Italy,OTO Melara,Armored Vehicle,Mine Protected Vehicle,2024,,Active (Limited),7.62mm coaxial MG,N/A - autoloader,2779,5404,5331.96,10141,,,,,,,5,5567539,16,Italy + 15 allied nations,No,3rd,Land,Not Exported,Limited,Diesel V-12,Manual,SINGCARS,All-terrain,Soft-kill APS,3rd generation Mine Protected Vehicle; operated by Italy; active (limited) service; All-terrain optimised
5318,E-Pro,USA,L3Harris,Aircraft,Ground Attack Aircraft,2008,,In Development,20mm rotary cannon,N/A - fly-by-wire,12953348,22121366,192238.34,42728,,,,,,1063,2,1838103111,28,USA + 27 allied nations,Yes,3.5th,Air,Not Exported,Limited,Turbofan,Inertial,JTIDS,Mountain,Active Protection System,3.5th generation Ground Attack Aircraft; operated by USA; in development service; Mountain optimised
5319,M-C,Afghanistan,Ministry Arms Factory,Small Arm,Pistol,2023,,Active,9x19mm Parabellum,Bolt-action,753,1172,14.2,596,613,772,753,78,,,1,149492,31,Afghanistan + 30 allied nations,No,3rd,Land,Embargoed,No,Electric,N/A,BLOS datalink,High-altitude,Composite Chobham,3rd generation Pistol; operated by Afghanistan; active service; High-altitude optimised
5320,SPH-31,Estonia,Defence Production Corp,Artillery,Counter-Battery Radar,1974,,In Development,122mm,Ram-loaded,291080,515879,50272.1,,,,27,11,,,4,3636988,14,Estonia + 13 allied nations,N/A,1st,Land,Key Export Product,Yes,Self-propelled diesel,Inertial,Software Defined Radio,Jungle,Composite + Trophy APS,1st generation Counter-Battery Radar; operated by Estonia; in development service; Jungle optimised
5321,CH-382,Algeria,Government Defence Works,UAS,ISR Reconnaissance Drone,1986,,In Development,EO/IR/SAR multi-sensor,Man-in-the-loop laser,343656,643669,961.8,11187,,,,,433.5,391,3,65538714,26,Algeria + 25 allied nations,Partial,5th,Air,Limited Export,Limited,Solid rocket,Laser spot tracking,BLOS datalink,Multi-environment,Full spectrum protection,5th generation ISR Reconnaissance Drone; operated by Algeria; in development service; Multi-environment optimised
5322,AMX-Beta,Finland,National Ordnance Plant,Armored Vehicle,Mine Protected Vehicle,2015,,Active,25mm autocannon,N/A - manual loading,1708,2336,13327.23,10804,,,,,,,8,1222735,33,Finland + 32 allied nations,Partial,1st,Land,Exported,No,Hybrid diesel-electric,Unguided,Link 16 datalink,Jungle,Full spectrum protection,1st generation Mine Protected Vehicle; operated by Finland; active service; Jungle optimised
5323,Type-356,Kazakhstan,Defence Production Corp,Small Arm,Assault Rifle,1956,,Active,8.6x70mm,Gas-operated short stroke piston,249,339,1.58,1228,,308,1042,184,,,2,163709,8,Kazakhstan + 7 allied nations,No,3rd,Land,Very Limited Export,Limited,Electric,Manual,Link 16 datalink,Jungle,Composite Chobham,3rd generation Assault Rifle; operated by Kazakhstan; active service; Jungle optimised
5324,J-93,Japan,Kawasaki Heavy Industries,Aircraft,Tactical Transport,1962,,In Development,23mm GSh-23,N/A - conventional controls,2846934,3771316,79990.89,11614,,,,,,765,5,3428712856,8,Japan + 7 allied nations,Yes,3rd,Air,Key Export Product,Limited,Turboprop,Unguided,Link 16 datalink,Underground,Full spectrum protection,3rd generation Tactical Transport; operated by Japan; in development service; Underground optimised
5325,2S-Panther,Australia,Thales Australia,Artillery,Ammunition Resupply Vehicle,1958,,Active (Limited),155mm/52cal,Autoloaded carousel,239288,435077,22453.91,,,,28,27,,,3,7360160,24,Australia + 23 allied nations,N/A,5th+,Land,Very Limited Export,Limited,Self-propelled diesel,Inertial,IFF Mode 4/5,Multi-environment,Explosive Reactive Armour (ERA),5th+ generation Ammunition Resupply Vehicle; operated by Australia; active (limited) service; Multi-environment optimised
5326,FH-394,South Korea,Victek,Artillery,Heavy Mortar System,1949,,Active,107mm rocket,Autoloaded carousel,4424,8055,47514.9,9200,,,4,52,,,5,3510543,8,South Korea + 7 allied nations,N/A,4th,Land,Widely Exported,Yes,Self-propelled diesel,N/A,BLOS datalink,High-altitude,Hard-kill APS (Trophy),4th generation Heavy Mortar System; operated by South Korea; active service; High-altitude optimised
5327,Crotale-261,Georgia,National Ordnance Plant,Air Defense,MANPADS,1993,,Active,240mm,Active radar homing,146949,258676,41847.45,,,,,,198.8,,4,1437196302,16,Georgia + 15 allied nations,Partial,3.5th,Land,Embargoed,Yes,N/A,Command uplink,HF/VHF/UHF,High-altitude,Full spectrum protection,3.5th generation MANPADS; operated by Georgia; active service; High-altitude optimised
5328,K-228,Estonia,National Defence Industries,Artillery,Self-Propelled Howitzer,2001,,Active (Limited),130mm,Ram-loaded,199994,273674,39786.35,5543,,,14,23,,,5,2180907,10,Estonia + 9 allied nations,Yes,2nd,Land,Very Limited Export,No,N/A,Unguided,SINGCARS,Mountain,Composite + Trophy APS,2nd generation Self-Propelled Howitzer; operated by Estonia; active (limited) service; Mountain optimised
5329,F-449,Indonesia,State Defence Enterprise,Aircraft,Airborne Early Warning,1959,,Active,27mm Mauser BK-27,N/A - fly-by-wire,11324723,21027948,139067.65,,,,,,,,4,2167087243,10,Indonesia + 9 allied nations,Yes,2nd,Air,Embargoed,No,Turbojet,Inertial,SINGCARS,Mountain,Slat/Cage armor,2nd generation Airborne Early Warning; operated by Indonesia; active service; Mountain optimised
5330,AGM-496,UK,Elbit UK,Missile,Land-Attack Cruise Missile,1964,,Reserve,1000mm+,Passive IR seeker,13758755,14503541,118287.31,10632,,,,11,591.0,6018,4,64783617,11,UK + 10 allied nations,Yes,1st,Sea,Very Limited Export,Limited,Liquid fuel rocket,Dual GPS/IR,Encrypted UHF/VHF,High-altitude,Active Protection System,1st generation Land-Attack Cruise Missile; operated by UK; reserve service; High-altitude optimised
